Player,Pos,Age,G,MP,Offensive_Score,Defensive_Score,Teamwork_Score,Stamina_Score,Overall_Score
Robert Covington,SF,33,26.310344827586206,16.80689655172414,51.64,57.65,51.01,12.42,45.14
Jordan Goodwin,PG,25,45.07017543859649,18.516666666666666,34.34,52.88,57.85,35.65,45.11
Marques Bolden,C,25,9.363636363636363,10.995454545454544,64.33,45.18,40.79,21.43,45.08
Chris Boucher,PF,31,50.0,14.1,60.03,46.24,43.75,22.3,44.97
Ziaire Williams,SF,22,51.0,20.4,40.39,44.86,52.35,42.42,44.9
Patrick Beverley,PG,35,56.26027397260274,20.03150684931507,42.32,44.18,58.83,31.89,44.83
Bruno Fernando,C,25,45.0,15.2,54.23,46.86,41.48,31.99,44.75
Jermaine Samuels,SF,25,14.0,4.3,84.18,22.5,40.34,18.64,44.69
Sam Merrill,SG,27,61.0,17.5,50.51,28.36,58.59,38.88,44.67
Ochai Agbaji,SG,23,60.34615384615385,21.025,36.79,42.54,54.12,46.85,44.57
Mo Bamba,C,25,57.0,13.0,43.27,55.18,39.84,37.96,44.33
Delon Wright,PG,31,37.170212765957444,15.782978723404254,47.34,47.98,57.65,18.62,44.33
Dennis Smith Jr.,PG,26,56.0,18.9,37.82,42.85,58.21,37.96,44.2
Noah Clowney,PF,19,23.0,16.1,55.27,47.63,45.37,21.59,44.15
Vit Krejci,PG,23,22.0,24.6,44.54,32.68,61.18,36.58,44.14
Jaxson Hayes,C,23,70.0,12.5,64.32,36.69,35.59,33.0,43.97
Mason Plumlee,C,33,46.0,14.7,54.69,51.95,42.46,19.59,43.93
Cedi Osman,SF,28,72.0,17.6,49.56,37.15,52.51,32.97,43.88
Quentin Grimes,SG,23,45.705882352941174,20.091176470588238,40.88,34.78,57.35,41.08,43.51
Jeff Dowtin,PG,26,12.0,11.800000000000002,57.08,40.54,48.78,19.56,43.37
Jeff Green,PF,37,78.0,16.8,56.9,32.22,49.04,29.83,43.35
Kris Dunn,PG,29,66.0,18.9,33.32,45.32,57.32,38.23,43.3
Marcus Sasser,PG,23,71.0,19.0,42.03,33.45,56.63,40.86,43.3
Josh Okogie,SG,25,60.0,16.0,44.34,41.16,47.21,39.25,43.24
Javon Freeman-Liberty,PG,24,22.0,18.3,48.66,41.46,50.24,28.52,43.23
Dominick Barlow,PF,20,33.0,12.7,56.18,38.84,48.94,21.38,43.08
Aaron Holiday,PG,27,78.0,16.3,49.44,26.2,51.21,43.62,42.91
Gary Payton II,SG,31,44.0,15.5,56.24,39.46,47.95,20.79,42.88
Alec Burks,SG,32,51.015151515151516,18.393181818181816,53.06,35.74,55.23,21.01,42.86
Torrey Craig,SF,33,53.0,19.8,43.45,43.62,54.8,25.47,42.73
Kevin Knox,SF,24,31.0,18.1,52.14,30.83,50.41,33.12,42.58
Trendon Watford,PF,23,63.0,13.6,55.06,36.53,41.87,31.81,42.48
Jock Landale,C,28,56.0,13.6,55.49,37.76,45.81,24.32,42.4
Jordan Hawkins,SG,21,67.0,17.3,46.11,30.98,52.34,37.83,42.23
Richaun Holmes,PF,30,30.225,13.885,56.82,41.37,43.66,19.18,42.14
Tristan Vukcevic,C,20,10.0,15.3,50.85,43.78,46.71,21.17,42.11
Justin Champagnie,SF,22,15.0,15.7,42.56,53.8,49.65,17.18,42.07
David Duke Jr.,SG,24,4.0,12.8,62.98,35.45,42.25,17.83,41.89
Oscar Tshiebwe,PF,24,8.0,5.3,66.71,28.98,43.03,18.71,41.76
Jordan Nwora,SF,25,40.23076923076923,13.715384615384616,46.75,44.28,42.61,29.62,41.67
Maxi Kleber,C,32,43.0,20.3,38.24,45.93,52.98,26.33,41.47
Jaylin Williams,C,21,69.0,13.0,39.41,46.24,46.33,32.14,41.39
Jalen Wilson,PF,23,43.0,15.4,50.45,32.83,50.84,26.41,41.33
Jared Rhoden,SG,24,17.0,14.4,51.75,38.23,46.99,21.49,41.13
David Roddy,PF,22,52.44615384615385,18.1,38.82,39.85,51.05,33.77,41.12
Ricky Council IV,SG,22,32.0,9.0,66.02,26.36,42.61,20.05,41.06
Sandro Mamukelashvili,C,24,46.0,9.8,48.64,38.84,42.61,30.12,40.98
Bryce McGowens,SG,21,59.0,14.9,50.51,29.44,46.4,34.04,40.92
Jordan McLaughlin,PG,27,56.0,11.2,47.65,32.99,48.09,31.72,40.91
Monte Morris,PG,28,28.09090909090909,14.404545454545456,44.3,42.76,55.68,14.98,40.9
Craig Porter Jr.,PG,23,51.0,12.7,47.79,37.92,45.22,28.5,40.82
Omer Yurtseven,C,25,48.0,11.4,46.48,43.93,36.47,33.73,40.79
Garrison Mathews,SG,27,66.0,15.0,52.74,19.88,48.26,38.99,40.66
Bismack Biyombo,C,31,32.5,19.775,32.63,54.41,45.62,29.23,40.64
Charles Bassey,C,23,19.0,10.8,53.96,53.03,31.85,16.06,40.62
Jontay Porter,PF,24,26.0,13.8,31.19,55.34,47.92,27.05,40.58
Keita Bates-Diop,SF,28,42.698113207547166,12.526415094339622,48.94,40.68,46.1,20.97,40.57
Darius Bazley,PF,23,7.0,16.9,41.77,60.91,40.5,13.31,40.55
Dwight Powell,C,32,63.0,13.3,58.1,32.06,42.04,22.14,40.38
Cameron Payne,PG,29,59.32051282051282,16.69423076923077,47.66,26.41,54.32,29.07,40.29
Leaky Black,SF,24,26.0,10.900000000000002,49.78,36.84,44.3,24.64,40.15
Kenrich Williams,PF,29,69.0,14.900000000000002,42.72,36.22,49.35,28.79,39.97
Thaddeus Young,PF,35,26.03030303030303,13.295454545454545,54.4,35.72,48.79,11.73,39.79
Max Christie,SG,20,67.0,14.1,41.9,37.15,44.63,33.81,39.78
Jahmi'us Ramsey,SG,22,7.0,17.3,43.28,47.17,47.31,15.79,39.76
Jericho Sims,C,25,45.0,13.0,50.18,37.3,35.22,32.76,39.74
Sidy Cissoko,SF,19,12.0,11.800000000000002,59.28,31.6,44.46,14.33,39.66
Landry Shamet,SG,26,46.0,15.8,48.38,24.51,49.01,33.79,39.65
Aleksej Pokusevski,PF,22,21.571428571428573,14.492857142857142,38.41,52.29,45.68,18.0,39.62
Drew Peterson,PF,24,3.0,7.7,69.26,28.82,32.74,17.22,39.61
Marcus Morris,PF,34,39.93877551020408,16.680612244897958,48.95,36.57,48.96,17.42,39.55
Justin Holiday,SG,34,58.0,14.9,46.88,31.14,52.5,22.05,39.38
Mouhamed Gueye,PF,21,6.0,12.199999999999998,43.86,44.7,49.68,12.64,39.28
Micah Potter,PF,25,16.0,11.6,48.57,40.85,41.19,20.38,39.16
Davion Mitchell,PG,25,72.0,15.300000000000002,43.94,20.04,50.61,41.03,39.05
Anthony Black,PG,20,69.0,16.9,37.21,31.75,45.6,42.51,39.0
Jaylen Nowell,SG,24,10.23076923076923,16.46923076923077,48.03,28.16,53.25,20.97,38.96
Danilo Gallinari,SF,35,34.714285714285715,12.873469387755103,58.13,31.77,44.89,11.75,38.95
Troy Brown Jr.,SF,24,45.20338983050848,14.022881355932205,37.67,37.51,45.68,33.85,38.87
Jaden Hardy,SG,21,73.0,13.5,42.93,28.21,46.71,35.96,38.8
Sasha Vezenkov,PF,28,42.0,12.2,48.62,35.45,46.26,18.67,38.75
Zavier Simpson,PG,26,7.0,23.0,17.79,50.25,63.23,25.05,38.72
JT Thor,PF,21,63.0,12.4,42.05,33.6,46.63,30.13,38.7
Brice Sensabaugh,SF,20,32.0,18.3,35.5,41.46,47.53,28.38,38.57
Dcvis Bertcns,PF,31,33.23255813953488,15.686046511627907,46.99,32.86,50.36,17.89,38.48
Evan Fournier,SG,31,29.28125,18.1328125,38.48,40.0,54.22,16.9,38.48
Johnny Juzang,SG,22,20.0,18.6,49.57,23.28,52.17,22.45,38.22
Jae'Sean Tate,SF,28,65.0,15.9,40.82,33.45,46.39,29.97,38.2
Stanley Umude,SG,24,24.0,12.800000000000002,52.93,30.06,38.79,24.81,38.05
Patrick Baldwin Jr.,SF,21,38.0,13.0,34.62,46.4,43.97,25.34,38.05
Ben Sheppard,SG,22,57.0,14.3,43.09,26.97,49.44,29.46,37.92
Derrick Rose,PG,35,24.0,16.6,46.84,30.67,53.34,14.21,37.9
Leonard Miller,SF,20,17.0,3.1,67.23,25.13,33.95,14.74,37.89
Oshae Brissett,SF,25,55.0,11.5,43.0,31.75,42.22,31.97,37.79
A.J. Green,SG,24,56.0,11.0,47.74,23.28,44.94,31.95,37.77
Gui Santos,PF,21,23.0,8.3,60.68,26.2,37.88,16.92,37.61
Vasilije Micic,PG,30,45.0,19.6,33.5,29.36,57.61,28.84,37.56
DeJon Jarreau,SG,26,9.0,16.7,19.38,56.72,54.01,18.96,37.29
Eugene Omoruyi,SF,26,43.0,9.1,49.07,28.67,39.07,27.7,37.2
Dru Smith,SG,26,9.0,14.600000000000001,40.06,37.76,47.75,18.74,37.14
Jared Butler,SG,23,40.0,14.2,41.81,31.6,47.32,24.17,37.11
Dereon Seabron,SG,23,6.0,9.2,50.78,28.52,48.39,12.11,36.88
Damian Jones,C,28,39.0,6.9,61.39,29.44,32.19,14.92,36.81
Olivier Sarr,C,24,15.0,6.5,58.23,31.14,30.59,19.37,36.78
KJ Martin,SF,23,58.06666666666667,12.403333333333334,46.26,26.62,41.44,28.61,36.61
Chris Duarte,SF,26,59.0,12.2,37.33,28.67,43.43,36.19,36.46
Jamal Cain,PF,24,26.0,10.0,48.8,27.75,40.43,23.63,36.41
Malachi Flynn,PG,25,47.05797101449275,12.710144927536232,36.73,32.99,43.52,30.57,36.26
Nassir Little,SF,23,45.0,10.2,47.44,28.82,40.31,23.72,36.26
Jacob Gilyard,PG,25,37.390243902439025,17.03780487804878,23.84,32.55,55.77,34.43,36.12
Isaiah Livers,PF,25,23.0,20.4,28.28,28.52,53.79,35.14,36.09
Caleb Houstan,SF,21,59.0,13.8,39.83,23.43,46.7,32.83,36.05
Lindy Waters III,SG,26,38.0,7.3999999999999995,49.48,24.66,39.53,25.43,35.98
Moussa Diabatï¿½,C,22,11.0,5.8,55.44,30.83,35.45,13.67,35.94
Otto Porter Jr.,SF,30,15.0,11.6,47.92,30.37,47.24,10.74,35.93
Shake Milton,SG,27,39.583333333333336,12.095833333333333,41.63,27.87,42.94,27.76,35.74
DeAndre Jordan,C,35,36.0,11.0,46.9,41.0,36.23,11.78,35.73
Blake Wesley,SG,20,61.0,14.4,36.73,26.05,47.38,31.31,35.64
MarJon Beauchamp,SF,23,48.0,12.699999999999998,44.15,29.13,39.5,25.77,35.56
Jacob Toppin,SF,23,9.0,4.2,66.52,18.65,33.18,12.62,35.44
Jay Huff,C,25,20.0,2.5,63.51,21.73,27.14,19.93,35.26
Olivier-Maxence Prosper,PF,21,40.0,8.4,43.69,30.06,41.22,21.24,35.17
Jordan Miller,SF,24,8.0,3.5,66.62,15.88,30.33,17.89,35.12
Skylar Mays,SG,26,28.605263157894736,11.403947368421052,34.29,30.63,47.53,26.28,35.08
Zeke Nnaji,PF,23,58.0,9.9,41.44,33.29,35.91,26.3,34.99
Seth Curry,SG,33,37.45454545454545,14.004545454545456,41.91,30.46,47.42,14.18,34.88
Saben Lee,PG,24,24.0,7.7,45.06,27.28,40.09,21.88,34.74
Bones Hyland,PG,23,37.0,14.599999999999998,31.55,32.37,48.1,25.56,34.69
Dexter Dennis,SG,24,4.0,7.5,43.82,37.15,34.23,18.41,34.67
Svi Mykhailiuk,SF,26,41.0,10.1,39.04,26.36,43.03,27.96,34.65
Joe Ingles,SF,36,68.0,17.2,27.36,34.99,50.79,24.96,34.64
Luka Garza,C,25,25.0,4.9,56.7,16.03,35.82,22.84,34.54
Danuel House Jr.,SF,30,34.0,15.0,45.29,25.74,42.47,18.69,34.38
Josh Minott,SF,21,32.0,2.8,56.54,24.2,31.57,17.39,34.38
Johnny Davis,SG,21,50.0,12.3,35.83,28.21,44.34,27.23,34.33
Jeenathan Williams,SG,24,22.0,5.9,53.85,19.88,35.67,21.28,34.3
Buddy Boeheim,SF,24,10.0,8.4,46.79,19.88,46.1,18.69,34.27
Dalen Terry,SG,21,59.0,11.5,33.25,32.37,42.14,28.09,34.22
Jevon Carter,PG,28,72.0,13.9,31.55,27.13,48.36,28.81,34.1
Anthony Gill,PF,31,50.0,9.3,46.34,27.13,37.09,19.95,33.95
Dylan Windler,SF,27,11.705882352941176,6.379411764705883,49.39,21.61,39.84,18.77,33.93
Jarace Walker,PF,20,33.0,10.3,34.65,37.15,40.79,19.91,33.86
Matthew Hurt,PF,23,8.0,14.1,36.68,30.83,49.07,13.26,33.63
Jordan Ford,PG,25,6.0,3.7000000000000006,62.29,18.19,27.29,17.86,33.63
Doug McDermott,SF,32,51.0625,14.1015625,42.93,20.04,48.35,17.33,33.44
Luka ï¿½amanic,PF,24,43.0,9.4,36.16,33.14,32.75,29.99,33.32
Shaquille Harrison,SG,30,3.0,2.0,53.24,27.44,36.51,6.38,33.24
Jeremiah Robinson-Earl,PF,23,39.0,8.6,41.77,31.14,34.69,21.03,33.19
Matt Ryan,SF,26,28.0,13.9,41.75,21.73,40.19,25.6,33.12
Dariq Whitehead,SF,19,2.0,12.0,22.09,43.16,53.71,10.68,32.98
JaVale McGee,C,36,46.0,7.4,47.58,37.3,27.66,12.32,32.98
Wesley Matthews,SG,37,36.0,11.5,39.07,30.21,45.02,12.11,32.95
Keon Johnson,SG,21,5.0,12.2,47.53,29.9,34.32,13.03,32.92
Orlando Robinson,C,23,36.0,8.4,41.71,29.9,33.13,22.73,32.82
Nick Smith Jr.,SG,19,51.0,14.3,33.73,22.66,45.6,27.66,32.72
Trevelin Queen,SG,26,14.0,11.8,32.23,34.68,41.59,19.69,32.67
T.J. Warren,SF,30,11.0,11.4,41.23,30.83,43.17,8.93,32.65
A.J. Lawson,SG,23,42.0,7.4,42.81,25.43,36.9,21.1,32.65
Ousmane Dieng,PF,20,33.0,11.1,37.9,28.52,39.81,20.29,32.51
Izaiah Brockington,PG,24,1.0,3.0,41.77,24.66,39.2,19.93,32.48
James Bouknight,SG,23,14.0,5.8,45.73,23.12,39.64,14.97,32.4
Moses Brown,C,24,22.0,9.1,31.59,35.76,35.24,25.19,32.26
Terry Taylor,PF,24,31.0,6.1,46.88,22.66,31.79,22.36,32.15
Furkan Korkmaz,SG,26,35.0,8.6,36.75,27.28,37.42,24.53,32.11
Lester Quinones,SG,23,37.0,10.6,37.56,24.66,41.49,21.39,32.08
Malik Williams,C,25,7.0,15.3,10.04,48.25,50.15,22.05,32.02
Braxton Key,SF,26,20.0,3.0,46.24,24.2,32.52,19.63,31.98
Devonte' Graham,PG,28,23.0,13.6,30.92,32.06,48.01,13.17,31.93
Kobe Bufkin,SG,20,17.0,11.5,29.16,33.91,45.66,16.08,31.86
Jules Bernard,SG,24,19.0,7.8,41.22,22.97,37.92,21.13,31.81
Adama Sanogo,PF,21,9.0,7.300000000000001,47.32,30.21,28.95,13.8,31.75
Colin Castleton,C,23,16.0,3.7,62.32,15.57,24.93,14.15,31.65
Boban Marjanovic,C,35,14.0,5.1,50.52,32.68,29.32,4.74,31.6
Julian Strawther,SF,21,50.0,10.9,33.3,24.51,41.76,25.15,31.59
Alex Len,C,30,48.0,9.3,36.36,36.99,31.23,17.99,31.56
Tristan Thompson,C,32,49.0,11.2,34.67,34.84,37.72,14.48,31.44
Timmy Allen,SF,24,5.0,25.0,13.78,26.51,63.43,23.71,31.36
Jaden Springer,PG,21,37.89795918367347,10.321428571428571,33.82,32.06,35.04,21.74,31.27
Kobe Brown,PF,24,44.0,9.0,32.63,23.58,40.55,26.74,31.17
Nate Hinton,SG,24,15.0,5.0,40.84,24.82,35.04,19.41,31.1
Rayan Rupert,SG,19,39.0,16.2,21.65,27.75,47.47,28.78,31.06
D.J. Carton,SG,23,4.0,9.0,47.01,19.42,38.46,11.82,30.94
Trent Forrest,SG,25,38.0,10.9,24.32,27.59,45.36,26.06,30.75
Kenneth Lofton Jr.,PF,21,16.333333333333332,9.492857142857142,35.9,27.68,39.56,15.72,30.72
Kendall Brown,SG,20,15.0,4.2,55.74,11.71,33.04,13.78,30.67
Kessler Edwards,SF,23,54.0,5.1,38.22,22.66,36.17,21.93,30.56
Jalen McDaniels,SF,26,50.0,10.8,26.57,28.05,38.21,30.08,30.55
Collin Gillespie,PG,24,24.0,9.4,36.45,24.35,35.61,22.38,30.4
Brandon Boston Jr.,SF,22,32.0,10.8,35.77,25.74,36.47,20.34,30.35
Ryan Rollins,PG,21,10.692307692307692,6.0,37.15,36.98,28.35,14.08,30.29
Onuralp Bitim,SG,24,23.0,11.7,31.63,21.58,42.36,23.14,30.1
Chuma Okeke,SF,25,47.0,9.2,23.17,29.9,37.47,30.32,29.86
Udoka Azubuike,C,24,16.0,7.1,39.3,28.21,28.22,19.55,29.81
Reggie Bullock,SF,32,44.0,9.5,32.8,31.29,38.56,11.86,29.67
Armoni Brooks,PG,25,10.0,10.4,26.52,26.97,44.03,18.95,29.5
Kira Lewis Jr.,PG,22,20.607142857142858,9.478571428571428,33.17,24.79,40.31,16.28,29.48
Jason Preston,PG,24,7.0,10.1,16.82,34.53,48.81,17.21,29.32
Taze Moore,SG,25,4.0,10.0,30.41,26.2,39.85,17.46,29.13
Gabe Vincent,PG,27,11.0,19.8,17.51,21.73,57.99,19.61,29.1
Andre Jackson Jr.,SG,22,57.0,10.0,31.83,21.58,34.25,27.84,29.07
Ish Smith,PG,35,43.0,17.2,16.37,30.06,52.2,17.46,28.97
Brandon Williams,PG,24,17.0,6.6,34.08,22.2,36.49,20.33,28.96
P.J. Tucker,PF,38,28.29032258064516,15.688709677419356,21.67,32.95,45.16,14.0,28.83
Garrett Temple,SG,37,27.0,10.7,34.64,26.2,39.75,9.26,28.73
Patty Mills,PG,35,24.28125,12.978124999999999,27.81,26.87,45.16,10.28,28.41
Isaiah Mobley,PF,24,10.0,7.2,32.53,20.96,38.85,18.21,28.35
Ashton Hagans,PG,24,19.0,16.6,13.93,34.37,43.7,23.14,28.32
Jordan Walsh,SF,19,9.0,9.2,25.0,34.84,36.36,14.33,28.17
Filip Petruï¿½ev,C,23,2.3333333333333335,3.3166666666666664,41.33,15.9,38.22,11.19,28.17
Julian Phillips,SF,20,40.0,8.1,35.2,20.66,33.19,20.38,28.1
JD Davison,SG,21,8.0,4.9,35.78,24.51,34.23,12.79,27.98
Mamadi Diakite,PF,27,4.5,4.0,37.73,24.2,28.09,17.44,27.88
Jack White,SF,26,4.0,16.0,0.0,51.79,46.12,16.42,27.76
Harry Giles,C,25,18.130434782608695,4.334782608695653,34.13,21.8,30.28,20.34,27.33
Mike Muscala,C,32,35.943396226415096,11.321698113207548,23.58,30.44,40.6,12.4,27.31
Colby Jones,SG,21,30.0,6.4,30.67,22.5,35.82,17.51,27.28
Jalen Slawson,SF,24,12.0,3.1,48.69,18.34,17.78,17.69,27.18
Chris Livingston,SF,20,21.0,4.3,41.89,20.19,25.3,14.76,26.89
Justin Minaya,SF,24,34.0,11.2,16.13,26.2,41.33,25.37,26.8
Jerome Robinson,SG,26,22.0,3.7,33.18,17.57,33.48,20.23,26.76
Lindell Wigginton,PG,25,3.0,2.7000000000000006,47.36,13.1,21.77,18.02,26.53
Yuta Watanabe,SF,29,29.735294117647058,13.635294117647058,21.61,28.94,38.98,14.86,26.44
Terquavion Smith,PG,21,16.0,5.3,30.41,23.58,32.86,15.3,26.29
Amari Bailey,PG,19,10.0,6.5,31.3,22.2,33.23,13.19,25.89
Kevon Harris,SG,26,2.0,3.0,47.61,13.1,18.34,17.57,25.66
D'Moi Hodge,SG,25,7.0,5.9,28.28,14.49,39.94,17.48,25.59
Cody Zeller,C,31,43.0,7.3999999999999995,24.94,27.13,32.13,15.55,25.41
Wendell Moore Jr.,SG,22,25.0,3.0,39.1,22.2,19.4,14.95,25.12
Pat Spencer,PG,27,6.0,4.3,33.93,16.65,29.88,16.47,25.11
Taj Gibson,PF,38,16.8,10.2,26.15,25.19,39.3,5.48,25.06
Isaiah Wong,SG,23,1.0,4.0,29.87,15.41,39.11,11.71,24.93
Henri Drell,SF,23,4.0,7.5,24.38,26.05,33.84,11.98,24.68
Alex Fudge,SF,20,4.666666666666667,6.683333333333334,27.94,23.79,31.29,12.09,24.57
Robin Lopez,C,35,16.0,4.1,33.6,18.81,33.84,5.48,24.34
Xavier Moon,SG,29,14.0,8.5,18.54,24.66,41.96,10.19,24.26
Wenyen Gabriel,PF,26,5.0,16.2,0.0,48.09,33.35,17.22,23.8
Jalen Pickett,SG,24,27.0,4.5,25.96,18.03,28.95,21.35,23.8
Ish Wainright,SF,29,8.454545454545455,5.627272727272726,20.9,27.79,34.13,7.77,23.3
Ty Jerome,SG,26,2.0,7.5,30.71,7.71,35.51,16.17,23.25
Cole Swider,SF,24,18.0,4.8,24.82,20.35,26.23,20.12,23.12
Mouhamadou Gueye,PF,25,11.0,10.9,0.0,49.02,28.53,18.59,23.11
Hunter Tyson,PF,23,18.0,2.7,29.0,16.34,29.81,14.29,23.1
Cory Joseph,PG,32,26.0,11.400000000000002,18.67,21.58,42.15,7.72,23.08
Seth Lundy,SF,23,9.0,5.8,23.78,16.49,36.38,12.59,22.87
Thï¿½o Maledon,PG,22,13.941176470588236,12.526470588235295,13.1,24.35,38.33,15.83,22.77
AJ Griffin,SF,20,20.0,8.6,14.87,24.2,35.1,15.67,22.42
Markieff Morris,PF,34,26.0,8.3,18.22,29.13,32.57,7.61,22.41
Joe Harris,SG,32,16.0,10.6,23.61,17.26,40.18,4.76,22.39
Jett Howard,SF,20,18.0,3.7000000000000006,21.59,20.35,30.21,14.62,22.04
Isaiah Thomas,PG,34,6.0,3.2000000000000006,25.29,15.41,39.46,2.11,21.73
Emoni Bates,SF,20,15.0,8.9,11.71,25.13,36.0,14.57,21.71
Daishen Nix,PG,21,15.0,3.3,22.19,21.12,25.85,14.41,21.28
TyTy Washington Jr.,PG,22,11.0,5.1,13.67,23.89,33.73,12.84,21.07
Frank Ntilikina,PG,25,5.0,8.6,9.16,18.5,40.16,16.37,20.69
Jamaree Bouyea,PG,24,7.0,10.583333333333332,8.93,25.28,32.04,17.45,20.5
Kaiser Gates,SF,27,1.0,7.0,0.0,24.66,43.02,14.91,19.9
Adam Flagler,SG,24,2.0,7.0,1.5,15.41,48.59,15.96,19.64
Admiral Schofield,PF,26,23.0,3.7,14.75,17.88,26.66,20.11,19.58
Danny Green,SG,36,2.0,9.0,0.0,30.06,47.02,0.0,19.27
Greg Brown III,PF,22,6.0,6.7,10.52,31.45,22.46,12.39,19.11
Jalen Hood-Schifino,SG,20,21.0,5.2,12.39,19.11,27.54,15.11,18.4
Andrew Funk,SG,24,5.0,2.6,0.0,22.81,37.29,15.55,18.13
Nathan Mensah,C,25,25.0,12.3,5.33,23.12,22.92,22.52,17.61
R.J. Hampton,PG,22,8.0,9.5,6.09,12.33,36.44,16.03,17.23
DaQuan Jeffries,SG,26,17.0,2.7,7.35,19.27,24.35,18.76,16.86
Mason Jones,SG,25,5.0,5.6,0.6,21.89,30.35,16.69,16.58
Jalen Crutcher,PG,24,1.0,3.0,0.0,15.41,37.81,14.86,16.28
Keyontae Johnson,SF,23,9.0,7.300000000000001,4.78,19.11,29.04,12.34,15.94
Hamidou Diallo,SG,25,2.0,2.5,5.34,30.06,13.86,16.55,15.89
Ibou Badji,C,21,22.0,10.3,0.26,30.67,18.5,16.84,15.74
Thanasis Antetokounmpo,PF,31,34.0,4.6,14.48,17.42,18.39,12.04,15.7
Dmytro Skapintsev,C,25,2.0,1.0,0.0,15.41,35.2,14.99,15.65
E.J. Liddell,PF,23,8.0,2.9,9.16,29.75,11.88,11.69,15.49
Usman Garuba,PF,21,6.0,3.0,0.0,32.52,18.2,11.32,14.94
Pete Nance,PF,23,8.0,3.4,0.0,18.65,27.9,11.53,13.94
Juan Toscano-Anderson,SF,30,11.0,4.8,0.0,19.73,29.55,7.24,13.77
Ryan Arcidiacono,PG,29,20.0,2.3,0.0,18.65,27.02,7.93,13.0
Charlie Brown Jr.,SG,26,8.0,4.6,0.0,17.26,20.48,16.93,12.82
Ron Harper Jr.,PF,23,1.0,4.0,0.0,0.0,41.89,9.81,12.43
James Johnson,PF,36,9.0,5.2,0.0,23.43,19.25,2.0,11.07
Alondes Williams,SG,24,7.0,2.3,0.0,15.88,14.55,17.02,11.01
Maxwell Lewis,SF,21,34.0,3.0,0.0,17.42,10.06,16.04,10.08
Joshua Primo,SG,21,2.0,5.0,0.0,24.66,0.0,10.79,8.32
Javonte Smart,PG,24,1.0,1.0,0.0,15.41,0.0,14.84,6.82
Malcolm Cazalon,SG,22,1.0,3.0,0.0,15.41,0.0,9.8,5.81
Justin Jackson,SF,28,2.0,0.5,0.0,15.41,0.0,4.85,4.82
